InstanceId,InstanceName,InstanceType,InstanceState,Region
i-0a9b158dbad802e74,USE1APPECEORC,t2.micro,running,us-east-1
i-0be3ee83f39512d5b,geo-ip-extraction,t2.medium,running,us-east-1
i-0bfef88bf4f13f5ba,USE1APPEWEBBEU,t2.medium,running,us-east-1
i-0c6f5ad786b550f6b,GeoIP-Extraction-service-dev,t2.medium,running,us-east-1
i-09278f37ee4363d7a,Geoip-Extraction-uat,t2.medium,running,us-east-1
i-07362ec45869008e4,use1-powerBI-gateway-u,t2.xlarge,running,us-east-1
i-06025d14d95745a46,Customer-API-Dev-2,t2.medium,running,us-east-1
i-0d4d84f94e50c7d63,USE1APPEWEBAPID,t2.medium,running,us-east-1
i-000fd3876854db3d4,use1appeexcartd1,t2.medium,running,us-east-1
i-0965fb700fd66d6ff,airflow-uat,t2.medium,running,us-east-1
i-01e593e1986912a15,ec2-use1-ap-pe-products-worker-ubx-sitemap,t2.micro,stopped,us-east-1
i-08669427030d6643e,knowledge-ai-resource-fetcher-dev,t2.medium,running,us-east-1
i-0d77048049386eaf6,Customer-API-Uat,t2.medium,running,us-east-1
i-03fd840c886ca4e5c,jaeger-service-d,t2.micro,running,us-east-1
i-099d196673fcd330a,Products-Services-Routledge-API-dev,t3.small,running,us-east-1
i-0fe2f643c7ead8b79,Products-Services-Routledge-API-prod,m5a.large,running,us-east-1
i-0f42d7c20205b3ff9,fivetran-tunnel-prod,t2.micro,running,us-east-1
i-0f09a0196718560f4,USE1APPEUBXESMNP12,m5.large,stopped,us-east-1
i-0e36abf06286910ae,content-index-listener-prod,t2.large,running,us-east-1
i-01c894a8df070cda6,content-index-listener-prod,t2.large,running,us-east-1
i-09a8c38ce82fa7c94,Products-Services-Routledge-API-prod,m5a.large,running,us-east-1
i-04ff65cfb6c9aabaa,ubx-mongodb,m5a.xlarge,running,us-east-1
i-0c952c399be0b3afd,use1nginixshub,t2.micro,running,us-east-1
i-08d0e0252d97fa2d7,useapacheshub,t2.micro,running,us-east-1
i-0d0f5536a71e4425e,pricing-app-manual,t3.medium,running,us-east-1
i-09c4afbd688a9e45a,Customer-API-Prod-Blue-1,m5a.large,running,us-east-1
i-048b1596d509f52a4,Products-Services-Routledge-API-dev,t3.small,running,us-east-1
i-0cd574963c3387f21,filebeat-integration-prod,t2.small,running,us-east-1
i-0945b6f2650e0b3ed,USE1APPEWEBP,t2.medium,running,us-east-1
i-03d65a27f9f074bbe,appe-us-elastic-search-datanode1-uat,m5dn.4xlarge,running,us-east-1
i-04c8901c9d12c50cd,appe-us-elastic-search-datanode2-uat,m5dn.4xlarge,running,us-east-1
i-0933a426a284808db,appe-us-elastic-search-master-test,m5n.large,running,us-east-1
i-04466661317c8f35b,appe-us-elastic-search-datanode2-prod,m5dn.4xlarge,running,us-east-1
i-0452647972d5ed044,appe-us-elastic-search-datanode3-prod,m5dn.4xlarge,running,us-east-1
i-0ec7762c9f865743d,appe-us-elastic-search-master-node1-prod,m5n.large,running,us-east-1
i-0a0dcc7455b7889a6,appe-us-elastic-search-datanode1-prod,m5dn.4xlarge,running,us-east-1
i-0c4c563b31e40113b,appe-us-elastic-search-datanode4-prod,m5dn.4xlarge,running,us-east-1
i-0c5002a817bdf68b2,appe-us-elastic-search-master-node2-prod,m5n.large,running,us-east-1
i-04ec1e4381e6294a2,appe-us-elastic-search-master-node3-prod,m5n.large,running,us-east-1
i-0417082a49796a43c,counter-report-sneaql-prod,t2.medium,running,us-east-1
i-0cfefa60cb1a08483,ec2-use1-ap-pe-proxy-api-service-ubx2-proxy-p,m5a.large,running,us-east-1
i-02535748018cc7188,ec2-use1-ap-pe-proxy-core-service-ubx2-proxy-p,m5a.large,running,us-east-1
i-0c5b5d0a5e6ef1ba2,ec2-ap-pe-use1-elastic-search-ubx2-master-d,m5n.large,running,us-east-1
i-04770f7caf7e7d8cd,ec2-ap-pe-use1-elastic-search-ubx2-data-d,m5dn.4xlarge,running,us-east-1
i-0a2406793d405cc4d,ec2-use1-ap-pe-proxy-core-service-ubx2-proxy-d,t3.medium,running,us-east-1
i-0b670d5649644fedf,Entitlements-Fat-Api-Ubx2-Prod,t3a.medium,running,us-east-1
i-05afbd37b3718ef2e,ec2-use1-ap-pe-proxy-devops-cloudflare-proxy-d,t3.medium,running,us-east-1
i-0cfd50cf7acdc8833,Customer-API-Prod-Green-1,m5a.large,running,us-east-1
i-06db8d199eb027147,ec2-use1-ap-pe-search-utility-ubx2-sitemap-p,t2.micro,stopped,us-east-1
i-0e8ea495a5a8c2ee8,ec2-use1-ap-pe-entitilementtemp-ubx2-web-u,m5.xlarge,running,us-east-1
i-0d6c1cd5e2deff934,eb-use1-ap-pe-search-ubx2-api-u,t3.small,running,us-east-1
i-016e84b5882ad0f93,ec2-use1-ap-pe-proxy-api-service-ubx2-proxy-p,m5a.large,running,us-east-1
i-0d0edaa1ae6b7ca2d,ec2-use1-ap-pe-proxy-core-service-ubx2-proxy-p,m5a.large,running,us-east-1
i-089d5cbba3deda257,ec2-ap-pe-use1-elastic-search-ubx2-data-d,m5dn.4xlarge,running,us-east-1
i-01c5c26e4b381ddbd,ec2-use1-ap-pe-proxy-api-service-ubx2-proxy-u,t3.medium,running,us-east-1
i-018377f9d1f0e2f2e,ec2-use1-ap-pe-proxy-core-service-ubx2-proxy-u,t3.medium,running,us-east-1
i-0be1b84e8b5af1059,Customer-API-Prod-Green-1,m5a.large,running,us-east-1
